timestamp_ms,wire1_pin34,wire2_pin32
13119,0,0
13129,0,0
13139,0,0
13149,0,0
13159,0,0
13169,0,0
13179,0,0
13189,0,0
13199,0,0
13209,0,0
13219,0,0
13229,0,0
13239,0,0
13249,0,0
13259,0,0
13269,0,0
13279,0,0
13289,0,0
13299,0,0
13309,0,0
13319,0,0
13329,0,0
13339,0,0
13349,0,0
13359,0,0
13369,0,0
13379,0,0
13389,0,0
13399,0,0
13409,0,0
13419,0,0
13429,0,0
13439,0,0
13449,0,0
13459,0,0
13469,0,0
13479,0,0
13489,0,0
13499,0,0
13509,0,0
13519,0,0
13529,0,0
13539,0,0
13549,0,16
13559,0,48
13569,0,98
13579,0,95
13589,0,77
13599,0,71
13609,32,50
13619,122,46
13629,145,34
13639,128,48
13649,140,48
13659,147,30
13669,198,33
13679,176,47
13689,468,38
13699,720,60
13709,703,39
13719,656,31
13729,576,26
13739,466,21
13749,417,6
13759,383,20
13769,361,16
13779,300,10
13789,224,14
13799,163,61
13809,144,93
13819,93,111
13829,77,80
13839,16,119
13849,41,177
13859,33,272
13869,16,294
13879,34,248
13889,62,287
13899,91,283
13909,85,287
13919,29,272
13929,99,246
13939,90,249
13949,63,213
13959,59,195
13969,69,153
13979,48,115
13989,47,103
13999,9,80
14009,16,68
14019,47,61
14029,21,32
14039,20,39
14049,0,29
14059,42,29
14069,21,46
14079,25,29
14089,12,27
14099,5,6
14109,49,0
14119,0,2
14129,63,13
14139,0,33
14149,0,17
14159,0,23
14169,0,46
14179,0,104
14189,1,97
14199,0,87
14209,0,126
14219,0,145
14229,0,107
14239,0,123
14249,0,144
14259,0,103
14269,0,80
14279,0,90
14289,0,130
14299,0,128
14309,0,155
14319,0,112
14329,0,77
14339,0,75
14349,0,64
14359,0,48
14369,0,30
14379,2,27
14389,1,19
14399,0,4
14409,0,0
14419,0,0
14429,0,0
14439,0,0
14449,0,0
14459,0,0
14469,0,0
14479,0,0
14489,0,0
14499,0,0
14509,0,0
14519,0,0
14529,0,0
14539,0,0
14549,0,0
14559,0,0
14569,0,0
14579,0,0
14589,0,0
14599,0,0
14609,0,0
14619,0,0
14629,0,0
14639,0,0
14649,0,0
14659,0,0
14669,0,0
14679,0,0
14689,0,0
14699,0,0
14709,0,0
14719,0,0
14729,5,0
14739,0,0
14749,0,0
14759,0,9
14769,0,11
14779,0,23
14789,0,14
14799,0,0
14809,0,0
14819,0,0
14829,0,0
14839,0,0
14849,0,0
14859,0,0
14869,0,0
14879,0,0
14889,0,0
14899,0,0
14909,0,0
14919,0,0
14929,0,0
14939,0,0
14949,0,0
14959,0,0
14969,0,0
14979,0,0
14989,0,0
14999,0,0
15009,0,0
15019,0,0
15029,0,0
15039,0,0
15049,0,0
15059,0,0
15069,0,0
15079,9,0
15089,0,0
15099,0,0
15109,0,0
19618,0,0
19628,0,0
19638,0,0
19648,0,0
19658,0,0
19668,0,0
19678,0,0
19688,0,0
19698,0,0
19708,0,0
19718,0,0
19728,0,0
19738,0,0
19748,0,0
19758,0,0
19768,0,0
19778,0,0
19788,0,0
19798,0,0
19808,0,0
19818,0,0
19828,0,0
19838,0,0
19848,0,0
19858,0,0
19868,0,0
19878,0,0
19888,0,0
19898,0,0
19908,0,0
19918,0,0
19928,17,0
19938,70,0
19948,75,0
19958,115,0
19968,133,28
19978,239,16
19988,283,27
19998,370,16
20008,384,1
20018,378,18
20028,398,26
20038,368,18
20048,415,15
20058,347,4
20068,326,0
20078,295,0
20088,235,11
20098,201,7
20108,156,0
20118,118,0
20128,78,0
20138,52,16
20148,32,39
20158,21,54
20168,21,64
20178,28,79
20188,48,94
20198,71,68
20208,89,74
20218,68,46
20228,48,52
20238,48,39
20248,17,27
20258,16,37
20268,6,18
20278,0,6
20288,0,0
20298,0,0
20308,0,0
20318,0,0
20328,0,11
20338,0,0
20348,0,0
20358,0,7
20368,0,6
20378,0,0
20388,0,0
20398,0,0
20408,0,60
20418,0,70
20428,0,85
20438,79,79
20448,20,80
20458,25,95
20468,43,128
20478,31,147
20488,57,178
20498,29,160
20508,48,130
20518,0,123
20528,87,163
20538,144,182
20548,103,182
20558,68,192
20568,64,160
20578,34,139
20588,22,115
20598,16,111
20608,2,109
20618,0,96
20628,0,112
20638,0,153
20648,0,158
20658,14,172
20668,34,162
20678,0,181
20688,81,186
20698,7,161
20708,6,129
20718,0,110
20728,0,110
20738,0,99
20748,0,128
20758,0,112
20768,0,89
20778,0,65
20788,0,80
20798,0,67
20808,0,163
20818,0,157
20828,0,131
20838,0,126
20848,0,139
20858,0,103
20868,0,94
20878,0,67
20888,0,42
20898,0,32
20908,0,22
20918,0,32
20928,0,49
20938,0,59
20948,0,49
20958,0,47
20968,0,26
20978,0,21
20988,0,18
20998,0,27
21008,0,46
21018,0,26
21028,0,42
21038,0,74
21048,0,64
21058,0,54
21068,0,36
21078,0,16
21088,0,15
21098,0,19
21108,0,7
21118,0,12
21128,0,21
21138,0,16
21148,0,34
21158,0,52
21168,0,61
21178,0,46
21188,0,33
21198,0,35
21208,0,43
21218,0,47
21228,0,60
21238,0,48
21248,0,67
21258,0,55
21268,0,48
21278,0,37
21288,0,20
21298,16,48
21308,3,81
21318,0,109
21328,0,82
21338,0,67
21348,0,62
21358,0,65
21368,0,115
21378,0,85
21388,0,87
21398,0,90
21408,0,109
21418,0,81
21428,0,80
21438,0,65
21448,0,73
21458,0,129
21468,0,108
21478,0,110
21488,0,114
21498,0,97
21508,0,71
21518,0,76
21528,0,111
21538,0,85
21548,0,74
21558,0,62
21568,0,48
21578,0,34
21588,0,14
21598,0,18
21608,0,22
26117,0,0
26127,0,0
26137,0,0
26147,0,0
26157,0,0
26167,0,0
26177,0,0
26187,0,0
26197,0,0
26207,0,0
26217,0,0
26227,0,0
26237,0,0
26247,0,0
26257,0,0
26267,0,0
26277,0,0
26287,0,0
26297,0,0
26307,0,0
26317,0,0
26327,0,0
26337,0,0
26347,0,0
26357,7,0
26367,48,0
26377,86,17
26387,150,12
26397,194,4
26407,202,16
26417,186,16
26427,176,16
26437,155,39
26447,210,37
26457,250,64
26467,303,58
26477,304,58
26487,272,61
26497,218,43
26507,169,34
26517,139,16
26527,112,7
26537,79,0
26547,69,0
26557,62,0
26567,48,0
26577,16,34
26587,15,61
26597,0,74
26607,3,94
26617,0,103
26627,0,131
26637,0,192
26647,0,166
26657,0,143
26667,0,112
26677,0,107
26687,0,78
26697,0,61
26707,0,43
26717,0,21
26727,0,9
26737,0,0
26747,0,0
26757,0,5
26767,0,16
26777,0,7
26787,0,0
26797,0,11
26807,0,2
26817,0,3
26827,0,5
26837,0,5
26847,0,7
26857,0,0
26867,0,5
26877,0,0
26887,7,0
26897,9,16
26907,35,47
26917,47,77
26927,47,68
26937,57,48
26947,74,74
26957,71,108
26967,51,106
26977,52,101
26987,45,146
26997,22,159
27007,11,132
27017,0,156
27027,0,139
27037,0,112
27047,0,155
27057,0,176
27067,0,146
27077,0,179
27087,0,197
27097,0,183
27107,0,219
27117,0,199
27127,0,171
27137,0,179
27147,0,174
27157,0,143
27167,0,119
27177,0,114
27187,0,106
27197,0,84
27207,0,89
27217,0,102
27227,0,80
27237,0,61
27247,0,48
27257,0,58
27267,0,48
27277,0,39
27287,0,30
27297,0,9
27307,0,16
27317,0,6
27327,0,4
27337,0,7
27347,0,45
27357,0,31
27367,0,49
27377,0,54
27387,0,48
27397,0,33
27407,0,16
27417,0,18
27427,0,13
27437,0,5
27447,0,0
27457,0,0
27467,0,0
27477,0,0
27487,0,1
27497,0,11
27507,0,16
27517,0,5
27527,0,12
27537,0,15
27547,0,2
27557,0,0
27567,0,0
27577,0,0
27587,0,0
27597,0,0
27607,0,0
27617,0,14
27627,0,0
27637,0,0
27647,0,0
27657,0,0
27667,0,0
27677,0,0
27687,0,0
27697,0,0
27707,0,0
27717,0,0
27727,0,0
27737,0,0
27747,0,10
27757,0,1
27767,0,0
27777,0,0
27787,0,6
27797,0,0
27807,0,27
27817,0,14
27827,0,0
27837,0,1
27847,0,9
27857,0,22
27867,0,39
27877,0,32
27887,0,39
27897,0,24
27907,0,22
27917,0,16
27927,0,16
27937,0,32
27947,0,35
27957,0,43
27967,0,39
27977,0,34
27987,0,18
27997,0,21
28007,0,22
28017,0,11
28027,0,0
28037,0,0
28047,0,0
28057,0,0
28067,0,0
28077,0,0
28087,0,0
28097,0,0
28107,0,0
32616,0,0
32626,0,0
32636,0,0
32646,0,0
32656,0,0
32666,0,0
32676,0,0
32686,0,0
32696,0,0
32706,0,0
32716,0,0
32726,0,0
32736,0,0
32746,0,0
32756,0,0
32766,0,0
32776,0,0
32786,0,0
32796,0,0
32806,0,0
32816,0,0
32826,0,0
32836,0,0
32846,0,0
32856,0,0
32866,0,0
32876,0,0
32886,0,0
32896,0,0
32906,0,0
32916,0,0
32926,0,0
32936,0,0
32946,0,0
32956,0,0
32966,0,0
32976,0,0
32986,0,0
32996,0,0
33006,11,0
33016,25,0
33026,32,0
33036,40,0
33046,19,0
33056,29,0
33066,63,0
33076,112,0
33086,137,0
33096,271,0
33106,405,8
33116,389,15
33126,359,17
33136,335,29
33146,425,23
33156,529,31
33166,462,39
33176,545,39
33186,507,26
33196,443,19
33206,426,15
33216,395,13
33226,411,43
33236,352,33
33246,294,21
33256,320,26
33266,400,46
33276,333,31
33286,275,15
33296,238,2
33306,214,18
33316,175,0
33326,124,0
33336,93,0
33346,79,0
33356,61,0
33366,33,0
33376,17,0
33386,0,3
33396,0,0
33406,0,2
33416,0,23
33426,0,89
33436,0,149
33446,0,144
33456,0,96
33466,0,115
33476,0,144
33486,0,128
33496,0,124
33506,0,95
33516,0,77
33526,0,45
33536,0,52
33546,0,64
33556,0,44
33566,0,26
33576,0,16
33586,0,15
33596,0,44
33606,0,48
33616,0,32
33626,0,34
33636,0,19
33646,0,11
33656,0,32
33666,0,17
33676,17,11
33686,46,3
33696,16,0
33706,10,33
33716,28,27
33726,11,32
33736,17,73
33746,18,82
33756,48,96
33766,12,123
33776,0,167
33786,0,144
33796,0,176
33806,0,197
33816,0,209
33826,0,205
33836,0,215
33846,0,271
33856,0,304
33866,0,240
33876,0,209
33886,0,211
33896,0,192
33906,0,176
33916,0,150
33926,0,133
33936,0,97
33946,0,81
33956,0,88
33966,0,74
33976,0,68
33986,0,57
33996,0,36
34006,0,19
34016,0,27
34026,0,29
34036,0,49
34046,0,43
34056,0,23
34066,0,32
34076,0,23
34086,0,19
34096,0,19
34106,0,27
34116,0,34
34126,0,45
34136,0,34
34146,0,32
34156,0,26
34166,0,16
34176,0,2
34186,0,0
34196,0,0
34206,0,0
34216,0,0
34226,0,0
34236,0,0
34246,0,0
34256,0,0
34266,0,0
34276,0,0
34286,0,0
34296,0,0
34306,0,0
34316,0,0
34326,0,0
34336,0,0
34346,0,0
34356,0,0
34366,0,0
34376,0,0
34386,0,0
34396,0,0
34406,0,0
34416,0,0
34426,0,0
34436,0,0
34446,0,0
34456,0,0
34466,0,0
34476,0,0
34486,0,0
34496,0,0
34506,0,0
34516,0,0
34526,0,0
34536,0,0
34546,0,0
34556,0,0
34566,0,0
34576,0,0
34586,0,0
34596,0,0
34606,0,0
39115,0,0
39125,0,0
39135,0,0
39145,0,0
39155,0,0
39165,0,0
39175,0,0
39185,0,0
39195,0,0
39205,0,0
39215,0,0
39225,0,0
39235,0,0
39245,0,0
39255,0,0
39265,0,0
39275,0,0
39285,0,0
39295,0,0
39305,0,0
39315,0,0
39325,0,0
39335,0,0
39345,0,0
39355,35,0
39365,86,0
39375,121,0
39385,129,0
39395,128,0
39405,146,0
39415,157,10
39425,213,0
39435,240,7
39445,259,10
39455,240,22
39465,271,54
39475,299,49
39485,296,41
39495,304,59
39505,256,59
39515,258,46
39525,218,41
39535,167,25
39545,117,15
39555,85,2
39565,63,5
39575,37,0
39585,16,0
39595,0,0
39605,0,16
39615,0,46
39625,0,39
39635,0,48
39645,0,61
39655,14,44
39665,0,21
39675,0,8
39685,0,1
39695,0,26
39705,0,25
39715,0,5
39725,0,0
39735,0,0
39745,0,0
39755,0,3
39765,0,0
39775,0,0
39785,0,5
39795,0,3
39805,0,17
39815,0,21
39825,0,6
39835,0,22
39845,0,13
39855,0,22
39865,0,48
39875,0,58
39885,0,157
39895,0,189
39905,0,251
39915,0,219
39925,0,183
39935,6,210
39945,0,181
39955,0,150
39965,0,161
39975,0,131
39985,0,138
39995,0,127
40005,0,110
40015,0,109
40025,0,101
40035,0,81
40045,0,102
40055,0,179
40065,0,210
40075,0,223
40085,0,183
40095,0,158
40105,0,142
40115,0,135
40125,0,128
40135,0,187
40145,0,166
40155,0,121
40165,0,101
40175,0,135
40185,0,142
40195,0,195
40205,0,201
40215,0,224
40225,0,233
40235,0,247
40245,0,234
40255,0,247
40265,0,256
40275,0,302
40285,0,282
40295,0,281
40305,0,240
40315,0,223
40325,0,187
40335,0,137
40345,0,112
40355,0,111
40365,0,123
40375,0,176
40385,0,192
40395,0,158
40405,0,162
40415,0,165
40425,0,148
40435,0,129
40445,0,144
40455,0,147
40465,0,138
40475,0,182
40485,0,219
40495,0,218
40505,0,203
40515,0,181
40525,0,214
40535,0,272
40545,0,239
40555,0,227
40565,0,259
40575,0,218
40585,0,170
40595,0,157
40605,0,119
40615,0,86
40625,0,99
40635,0,97
40645,0,81
40655,0,71
40665,0,112
40675,0,107
40685,0,141
40695,0,154
40705,0,166
40715,0,156
40725,0,137
40735,0,122
40745,0,125
40755,0,117
40765,0,83
40775,0,64
40785,0,50
40795,0,80
40805,0,77
40815,0,61
40825,0,66
40835,0,78
40845,0,67
40855,0,71
40865,0,108
40875,0,142
40885,0,190
40895,0,144
40905,0,133
40915,0,112
40925,16,85
40935,0,125
40945,0,111
40955,0,97
40965,0,86
40975,0,89
40985,0,86
40995,0,102
41005,0,103
41015,0,95
41025,0,69
41035,0,85
41045,0,123
41055,0,112
41065,0,119
41075,0,148
41085,0,122
41095,0,84
41105,0,73
45614,0,0
45624,0,0
45634,0,0
45644,0,0
45654,0,0
45664,0,0
45674,0,0
45684,0,0
45694,0,0
45704,0,0
45714,0,0
45724,0,0
45734,0,0
45744,0,0
45754,0,0
45764,0,0
45774,0,0
45784,0,0
45794,0,0
45804,0,0
45814,0,0
45824,0,0
45834,0,0
45844,0,0
45854,0,0
45864,16,0
45874,49,0
45884,99,0
45894,130,0
45904,149,0
45914,206,0
45924,303,0
45934,346,0
45944,400,15
45954,483,48
45964,453,44
45974,560,60
45984,626,79
45994,528,58
46004,435,42
46014,403,21
46024,334,10
46034,287,5
46044,245,0
46054,193,0
46064,150,0
46074,112,0
46084,70,0
46094,48,0
46104,21,0
46114,5,0
46124,0,0
46134,0,0
46144,0,35
46154,0,22
46164,0,9
46174,0,0
46184,0,14
46194,0,14
46204,0,21
46214,0,15
46224,0,2
46234,0,0
46244,0,15
46254,0,19
46264,0,21
46274,0,5
46284,0,12
46294,0,7
46304,0,26
46314,0,48
46324,0,81
46334,32,73
46344,51,113
46354,51,126
46364,110,111
46374,171,84
46384,185,85
46394,151,90
46404,128,65
46414,112,79
46424,104,75
46434,106,64
46444,80,138
46454,48,207
46464,38,171
46474,29,166
46484,48,145
46494,48,127
46504,27,139
46514,10,144
46524,0,169
46534,0,137
46544,0,125
46554,0,144
46564,0,115
46574,0,130
46584,0,137
46594,0,112
46604,19,106
46614,7,118
46624,6,176
46634,0,144
46644,0,191
46654,0,181
46664,0,217
46674,0,265
46684,0,256
46694,0,240
46704,0,244
46714,0,237
46724,0,198
46734,0,147
46744,0,141
46754,0,126
46764,0,112
46774,0,106
46784,0,112
46794,0,93
46804,0,134
46814,0,146
46824,0,131
46834,0,95
46844,0,74
46854,0,68
46864,0,52
46874,0,80
46884,0,112
46894,0,158
46904,0,196
46914,0,179
46924,0,163
46934,0,191
46944,0,197
46954,0,176
46964,0,182
46974,0,167
46984,0,173
46994,0,135
47004,0,160
47014,0,151
47024,0,190
47034,0,201
47044,0,162
47054,0,144
47064,0,109
47074,0,122
47084,0,144
47094,0,234
47104,0,222
47114,0,208
47124,0,203
47134,0,167
47144,0,144
47154,0,112
47164,0,85
47174,6,64
47184,0,58
47194,0,50
47204,0,26
47214,0,26
47224,0,27
47234,0,8
47244,0,1
47254,0,0
47264,0,0
47274,0,0
47284,0,0
47294,0,0
47304,0,0
47314,0,0
47324,0,0
47334,0,0
47344,0,0
47354,0,0
47364,0,0
47374,0,0
47384,0,0
47394,0,0
47404,0,0
47414,0,0
47424,0,0
47434,0,0
47444,0,0
47454,0,0
47464,0,0
47474,0,0
47484,0,0
47494,0,0
47504,0,0
47514,0,0
47524,0,0
47534,0,0
47544,0,0
47554,0,0
47564,0,0
47574,0,0
47584,0,0
47594,0,0
47604,0,0
52113,0,0
52123,0,0
52133,0,0
52143,0,0
52153,0,0
52163,0,0
52173,0,0
52183,0,0
52193,0,0
52203,0,0
52213,0,0
52223,0,0
52233,0,0
52243,0,0
52253,0,0
52263,0,0
52273,0,0
52283,0,0
52293,0,0
52303,0,0
52313,0,0
52323,0,0
52333,0,0
52343,0,0
52353,0,0
52363,0,0
52373,0,0
52383,0,0
52393,55,0
52403,68,0
52413,144,0
52423,208,0
52433,243,11
52443,371,26
52453,498,70
52463,560,55
52473,598,48
52483,580,45
52493,553,64
52503,559,48
52513,550,34
52523,612,38
52533,583,46
52543,473,47
52553,426,43
52563,390,27
52573,374,16
52583,350,15
52593,315,0
52603,238,0
52613,179,0
52623,129,0
52633,113,0
52643,77,16
52653,61,10
52663,38,36
52673,37,59
52683,21,67
52693,16,62
52703,17,74
52713,14,135
52723,4,179
52733,13,142
52743,3,146
52753,0,174
52763,0,123
52773,0,84
52783,0,67
52793,0,53
52803,0,42
52813,0,15
52823,0,36
52833,0,32
52843,0,30
52853,0,11
52863,0,33
52873,0,42
52883,9,69
52893,7,55
52903,43,48
52913,88,66
52923,74,61
52933,77,60
52943,121,61
52953,117,51
52963,98,64
52973,96,58
52983,83,53
52993,62,91
53003,47,77
53013,67,75
53023,70,98
53033,64,81
53043,51,79
53053,45,150
53063,30,207
53073,6,173
53083,0,179
53093,0,208
53103,0,227
53113,0,204
53123,0,161
53133,0,145
53143,0,191
53153,0,237
53163,0,252
53173,0,218
53183,0,178
53193,0,139
53203,0,119
53213,0,125
53223,0,135
53233,0,118
53243,0,103
53253,0,86
53263,0,68
53273,0,49
53283,0,48
53293,0,64
53303,0,83
53313,0,75
53323,0,50
53333,0,31
53343,0,38
53353,0,26
53363,0,47
53373,0,80
53383,0,84
53393,0,96
53403,0,89
53413,0,70
53423,0,70
53433,0,101
53443,0,97
53453,0,112
53463,0,134
53473,0,99
53483,0,80
53493,0,75
53503,0,67
53513,0,55
53523,0,48
53533,0,42
53543,0,64
53553,0,58
53563,0,48
53573,0,36
53583,0,39
53593,0,32
53603,0,20
53613,0,15
53623,0,20
53633,0,17
53643,0,16
53653,7,39
53663,0,62
53673,0,45
53683,0,70
53693,0,61
53703,0,41
53713,0,41
53723,0,33
53733,0,35
53743,0,64
53753,0,105
53763,0,121
53773,0,130
53783,0,96
53793,0,74
53803,0,83
53813,0,92
53823,0,87
53833,0,111
53843,0,83
53853,0,58
53863,0,45
53873,0,59
53883,0,40
53893,0,19
53903,0,48
53913,0,41
53923,0,32
53933,0,12
53943,0,30
53953,0,67
53963,0,51
53973,0,48
53983,0,32
53993,0,12
54003,0,5
54013,0,10
54023,0,3
54033,0,18
54043,0,101
54053,0,78
54063,0,79
54073,0,74
54083,0,64
54093,0,47
54103,0,43
58612,0,0
58622,0,0
58632,0,0
58642,0,0
58652,0,0
58662,0,0
58672,0,0
58682,0,0
58692,0,34
58702,0,0
58712,0,0
58722,0,0
58732,0,0
58742,0,0
58752,0,0
58762,0,0
58772,0,0
58782,0,0
58792,0,0
58802,0,0
58812,0,0
58822,0,0
58832,0,0
58842,0,0
58852,0,0
58862,0,0
58872,0,0
58882,0,0
58892,0,0
58902,0,0
58912,0,0
58922,0,0
58932,0,0
58942,0,0
58952,0,0
58962,0,0
58972,0,0
58982,0,0
58992,0,0
59002,0,0
59012,7,0
59022,14,0
59032,10,0
59042,2,0
59052,6,0
59062,0,0
59072,11,0
59082,26,0
59092,46,0
59102,68,0
59112,68,0
59122,89,0
59132,148,9
59142,228,14
59152,230,34
59162,306,34
59172,291,29
59182,382,106
59192,418,133
59202,422,112
59212,406,83
59222,331,58
59232,334,43
59242,273,22
59252,219,11
59262,211,2
59272,177,0
59282,165,0
59292,131,0
59302,115,0
59312,117,0
59322,80,0
59332,65,0
59342,61,0
59352,47,0
59362,48,0
59372,78,0
59382,75,0
59392,51,0
59402,47,29
59412,15,94
59422,1,69
59432,0,83
59442,0,80
59452,0,71
59462,0,127
59472,0,139
59482,0,126
59492,0,122
59502,0,112
59512,0,83
59522,0,82
59532,0,79
59542,0,71
59552,0,102
59562,0,114
59572,0,99
59582,0,69
59592,0,59
59602,13,59
59612,26,51
59622,35,58
59632,52,63
59642,82,65
59652,161,41
59662,173,59
59672,160,79
59682,129,87
59692,96,130
59702,70,135
59712,59,125
59722,48,109
59732,39,111
59742,39,154
59752,35,246
59762,17,214
59772,13,170
59782,0,186
59792,0,162
59802,0,192
59812,0,190
59822,0,221
59832,0,240
59842,0,225
59852,0,226
59862,0,291
59872,0,271
59882,0,267
59892,0,240
59902,0,215
59912,0,226
59922,0,217
59932,0,246
59942,0,239
59952,0,191
59962,0,183
59972,0,154
59982,0,121
59992,0,141
60002,0,103
60012,0,121
60022,0,137
60032,0,99
60042,0,73
60052,0,63
60062,0,51
60072,0,42
60082,10,46
60092,0,93
60102,0,94
60112,0,80
60122,0,68
60132,0,51
60142,0,35
60152,0,48
60162,0,74
60172,0,55
60182,0,34
60192,0,46
60202,0,55
60212,0,21
60222,0,21
60232,0,10
60242,0,0
60252,0,12
60262,0,1
60272,0,16
60282,0,16
60292,0,22
60302,0,13
60312,0,0
60322,0,7
60332,0,10
60342,0,14
60352,0,32
60362,0,16
60372,0,7
60382,0,0
60392,0,0
60402,0,0
60412,0,0
60422,0,3
60432,0,31
60442,0,22
60452,0,16
60462,0,1
60472,0,0
60482,0,0
60492,0,0
60502,0,0
60512,0,0
60522,0,0
60532,0,0
60542,0,0
60552,0,0
60562,0,0
60572,0,0
60582,0,0
60592,0,0
60602,0,0
65111,0,0
65121,0,0
65131,0,0
65141,0,0
65151,0,0
65161,0,0
65171,0,0
65181,0,0
65191,0,0
65201,0,0
65211,0,0
65221,3,0
65231,2,0
65241,13,0
65251,18,0
65261,23,0
